"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2449,0,"Domingo"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2634,0,"Domingo"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2972,0,"Sábado"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2741,0,"Sábado"
339543,"3024 Calvo, Carlos","708 Pasco & Chile",2361,1072.18,"Domingo"
498500,"1981 Vidal","Av. Del Libertador, 3260",2247,4312.42,"Martes"
51564,"1019 Saavedra","925 Yatay& Humahuaca",1599,3323.62,"Lunes"
363118,"Juana De Ibarbourou & Av Patricias Argentinas","925 Yatay& Humahuaca",2069,658.49,"Sábado"
188139,"780 Malabia & Loyola","925 Yatay& Humahuaca",443,847.99,"Miércoles"
599060,"o´higins 1327","925 Yatay& Humahuaca",1313,4092.55,"Sábado"
134343,"Estados Unidos & Lima","Machaca Guemes 350",996,2105.85,"Lunes"
261632,"Machaca Guemes 350","Machaca Guemes 350",3254,0,"Viernes"
425918,"2516 Pereyra Lucena","Machaca Guemes 350",2029,4121.58,"Sábado"
599060,"Cordoba 6599","o´higins 1327",1240,1638.32,"Miércoles"
599060,"2700 Pedraza, Manuela","o´higins 1327",973,2618.61,"Viernes"
599060,"Vuelta de Obligado 2004","o´higins 1327",630,999.8,"Jueves"
599060,"o´higins 1327","o´higins 1327",2901,0,"Viernes"
599060,"o´higins 1327","o´higins 1327",3108,0,"Lunes"
599060,"o´higins 1327","o´higins 1327",2866,0,"Miércoles"
14488,"Quintino Bocayuva y Don Bosco","4300 Yrigoyen, Hipolito Av.",200,438.08,"Viernes"
14488,"141 Jose Maria Moreno","4300 Yrigoyen, Hipolito Av.",1155,914.45,"Sábado"
301804,"Bartolome Mitre & Av. Puyrredon","4300 Yrigoyen, Hipolito Av.",748,2049.06,"Viernes"
599060,"Miller & Monroe","2001 Donado",1313,675.48,"Lunes"
28396,"2519 Conesa","2001 Donado",637,1575.87,"Domingo"
492921,"1540 Garcia, Juan Agustin","2001 Donado",1425,3280.34,"Viernes"
498500,"1981 Vidal","2001 Donado",2051,1671.02,"Domingo"
495592,"Calle Perú, 718","Cerrito & Arenales",1672,2607.77,"Viernes"
339543,"803 José Marmol","3024 Calvo, Carlos",450,1564.97,"Viernes"
339543,"803 José Marmol","3024 Calvo, Carlos",1161,1564.97,"Sábado"
339543,"1019 Riglos","3024 Calvo, Carlos",2170,2682.88,"Domingo"
339543,"México & Lima","3024 Calvo, Carlos",802,2540.62,"Jueves"
538693,"561 Uruguay & Av. Tucuman","3024 Calvo, Carlos",1488,2972.44,"Miércoles"
301804,"608 Doblas & Valle","J.Ramirez de Velasco 285",2963,2720.94,"Jueves"
93576,"Triunvirato Av. & Tronador","J.Ramirez de Velasco 285",1202,3423.63,"Lunes"
481240,"3822 Guemes","J.Ramirez de Velasco 285",1002,2267.63,"Miércoles"
9190,"Guayaquil & Doblas","J.Ramirez de Velasco 285",645,2200.48,"Miércoles"
134368,"Figueroa Alcorta & Sarmiento","J.Ramirez de Velasco 285",1964,3803.87,"Viernes"
14488,"Av. Patricias Argentinas & Estivao","3997 TTE. GENERAL JUAN DOMINGO PERON",1239,1037.49,"Lunes"
14488,"Av. Patricias Argentinas & Estivao","3997 TTE. GENERAL JUAN DOMINGO PERON",598,1037.49,"Jueves"
14488,"Av. Patricias Argentinas & Estivao","3997 TTE. GENERAL JUAN DOMINGO PERON",489,1037.49,"Sábado"
522473,"2516 Pereyra Lucena","3051 San Martin De Tours",2922,757.61,"Domingo"
522473,"2516 Pereyra Lucena","3051 San Martin De Tours",2264,757.61,"Viernes"
522473,"2939 Cavia","3051 San Martin De Tours",900,392.99,"Viernes"
522473,"Arenales y Aguero","3051 San Martin De Tours",4449,1549.2,"Domingo"
522473,"3051 San Martin De Tours","3051 San Martin De Tours",2264,0,"Sábado"
23915,"1413 Araoz & Gorriti CABA","Figueroa Alcorta & Sarmiento",1797,2655.99,"Sábado"
522473,"2939 Cavia","Figueroa Alcorta & Sarmiento",1833,697.51,"Domingo"
522473,"2939 Cavia","Figueroa Alcorta & Sarmiento",1587,697.51,"Sábado"
522473,"Figueroa Alcorta & Sarmiento","Figueroa Alcorta & Sarmiento",1014,0,"Sábado"
522473,"3051 San Martin De Tours","Figueroa Alcorta & Sarmiento",1019,924.97,"Domingo"
51564,"238 Pichincha","1590 Lavalle",802,1336.49,"Lunes"
16756,"Bernardo Irigoyen 320","1590 Lavalle",640,1280.36,"Jueves"
93576,"Triunvirato Av. & Tronador","1590 Lavalle",2408,7389.28,"Miércoles"
51564,"708 Pasco & Chile","1590 Lavalle",816,1749.29,"Viernes"
452193,"Peru  1016","1590 Lavalle",1405,2334.45,"Sábado"
426508,"2516 Pereyra Lucena","2516 Pereyra Lucena",2554,0,"Viernes"
425918,"367 Sanchez De Thompson, Mariquita","2516 Pereyra Lucena",1922,3744.34,"Sábado"
452193,"Calle Perú, 718","Uriburu Jose E., Pres. & Paraguay",1979,3011.12,"Lunes"
452193,"1413 Araoz & Gorriti CABA","Uriburu Jose E., Pres. & Paraguay",1744,2558.74,"Lunes"
16756,"Marcelo T. de Alvear & Rodriguez Peña","Uriburu Jose E., Pres. & Paraguay",527,677.02,"Martes"
229284,"Av. Gaona 2200","Av. Gaona 2200",317,0,"Sábado"
167410,"Av. Gaona 2200","Av. Gaona 2200",1548,0,"Lunes"
599549,"Av. Gaona 2200","Av. Gaona 2200",2354,0,"Sábado"
167410,"2502 Galicia","Av. Gaona 2200",695,1185.16,"Jueves"
229284,"1471 Cucha Cucha","Av. Gaona 2200",1745,1015.96,"Martes"
492921,"1540 Garcia, Juan Agustin","Av. Gaona 2200",2169,1467.17,"Jueves"
492921,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","Av. Gaona 2200",1999,1491.94,"Jueves"
492921,"1355 San Martin Av.","Av. Gaona 2200",1353,1172.24,"Miércoles"
412121,"608 Doblas & Valle","Yerbal 1290",2,1684.89,"Miércoles"
301804,"Guayaquil & Doblas","Yerbal 1290",463,1582.14,"Domingo"
51564,"Avenida Rivadavia y Fray Cayetano","Saavedra & Mexico",3337,5711.47,"Miércoles"
51564,"708 Pasco & Chile","Saavedra & Mexico",2059,465.21,"Martes"
51564,"3817 Traful","Saavedra & Mexico",1317,4058.92,"Lunes"
51564,"3817 Traful","Saavedra & Mexico",1689,4058.92,"Lunes"
51564,"3817 Traful","Saavedra & Mexico",1416,4058.92,"Sábado"
51564,"3817 Traful","Saavedra & Mexico",1482,4058.92,"Viernes"
51564,"3817 Traful","Saavedra & Mexico",1504,4058.92,"Lunes"
51564,"Urquiza, Gral. & Rondeau","Saavedra & Mexico",758,2210.77,"Domingo"
51564,"1590 Lavalle","238 Pichincha",1961,1336.49,"Viernes"
51564,"3912 Humahuaca","238 Pichincha",845,2210.86,"Lunes"
51564,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.","238 Pichincha",1827,3137.12,"Viernes"
520871,"1798 Matienzo, Benjamin, Teniente","1798 Matienzo, Benjamin, Teniente",3914,0,"Lunes"
26195,"Olleros Av. & Del Libertador Av.","1798 Matienzo, Benjamin, Teniente",2960,593.24,"Jueves"
26195,"Av. Del Libertador, 3260","1798 Matienzo, Benjamin, Teniente",2851,2034.2,"Domingo"
599549,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","1798 Matienzo, Benjamin, Teniente",1879,1609.53,"Viernes"
232364,"1019 Riglos","2000 Vicente Lopez",2689,6029.41,"Lunes"
188139,"Av. Sarmiento 2601","1078 Gurruchaga",868,1914.75,"Miércoles"
93576,"Triunvirato Av. & Tronador","1078 Gurruchaga",1218,3048.22,"Lunes"
216454,"1078 Gurruchaga","1078 Gurruchaga",444,0,"Domingo"
478794,"Godoy Cruz  3279 y Libertador","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",1438,2909.7,"Domingo"
275094,"Tronador y Garcia del Rio","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",6572,3447.71,"Sábado"
498500,"2700 Pedraza, Manuela","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",1555,2042.84,"Martes"
599060,"o´higins 1327","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",682,873.34,"Lunes"
492921,"Fitz Roy & Gorriti","2502 Galicia",2498,4626.91,"Miércoles"
328861,"Godoy Cruz  3279 y Libertador","2502 Galicia",9882,6677.82,"Lunes"
492921,"1540 Garcia, Juan Agustin","2502 Galicia",1688,1626.69,"Sábado"
9190,"J.Ramirez de Velasco 285","561 Uruguay & Av. Tucuman",1626,4418.6,"Jueves"
93576,"AZOPARDO 700","Suipacha & Viamonte, 709",630,2059.28,"Miércoles"
93576,"Triunvirato Av. & Tronador","Acevedo 220 y padilla",10789,2800.05,"Domingo"
481240,"J.Ramirez de Velasco 285","3822 Guemes",840,2267.63,"Sábado"
228280,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","3822 Guemes",1683,4274.25,"Domingo"
228280,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","3822 Guemes",1415,4274.25,"Sábado"
232196,"Cerrito & Arenales","3822 Guemes",1132,3132.13,"Martes"
246986,"Santa Fe Av. & Bullrich, Int. Av.","Santa Fe Av. & Bullrich, Int. Av.",2845,0,"Lunes"
99317,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General","Santa Fe Av. & Bullrich, Int. Av.",649,1634.4,"Jueves"
188139,"Figueroa Alcorta, Pres. Av. & Dorrego Av.","Santa Fe Av. & Bullrich, Int. Av.",635,1456.7,"Miércoles"
583676,"Figueroa Alcorta & Sarmiento","Santa Fe Av. & Bullrich, Int. Av.",7574,1503.59,"Domingo"
599060,"o´higins 1327","Santa Fe Av. & Bullrich, Int. Av.",1755,2140.95,"Sábado"
23915,"1413 Araoz & Gorriti CABA","F.J.Santamaria de Oro & Guatemala",744,1057.64,"Miércoles"
